SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$009202,37378,Event_Anim_38_3F_2b,,USED
$05EE68,388712,Names_Condition,,USED
$009250,37456,Event_Anim_40_47_2b,,USED
$00929E,37534,Event_Anim_E0_E7_2b,,USED
$0092D7,37591,Event_Anim_58_5F_2b,,USED
$0092F8,37624,Event_Anim_60_67_2b,,USED
$009319,37657,Event_Anim_F0_F7_2b,,USED
$00933A,37690,Event_Anim_68_6F_2b,,USED
$009362,37730,Event_Anim_70_77_2b,,USED
$00938A,37770,Event_Anim_F8_FF_2b,,USED
$0093B2,37810,Event_Anim_78_7F_1b_2b,,USED
$0093CA,37834,Event_Anim_80_87_1b_2b,,USED
$0093E2,37858,Event_Anim_88_8F_1b_2b,,USED
$009409,37897,Event_Anim_90_97_1b_2b,,USED
$009430,37936,Event_Anim_98_9F_1b_2b,,USED
$00945E,37982,Event_Anim_A0_A7_1b_2b,,USED
$00948C,38028,Event_Anim_48_4F_2b,,USED
$00949F,38047,Event_Anim_50_57_2b,,USED
$0094B2,38066,Event_Anim_E8_EF_2b,,USED
$0094C5,38085,Event_Anim_C0_C7_1b_2b,,USED
$0094DE,38110,Event_Anim_C8_CF_1b_2b,,USED
$0094F7,38135,Event_Anim_D0_D7,,USED
$00950F,38159,Event_Anim_D8_DF_1b,,USED
$05EE72,388722,Names_Paralyzed,,USED
$00954D,38221,Event_Code_0B,,USED
$009562,38242,Event_Code_0C,,USED
$009577,38263,Event_Code_11,,USED
$00959D,38301,Event_Code_12,,USED
$00960C,38412,Event_Code_14,,USED
$00963F,38463,Event_Code_09,,USED
$009655,38485,Event_Code_0A,,USED
$00965F,38495,Event_Anim_A8_AF,,USED
$009668,38504,Event_Anim_B0_B7,,USED
$009671,38513,Event_Anim_B8_BF_1b,,USED
$00968D,38541,Event_Code_19,,USED
$0096B8,38584,Event_Code_15,,USED
$0096CD,38605,Event_Code_0E,,USED
$009717,38679,Event_Code_0F,,USED
$05EE44,388676,Names_HP,,USED
$009701,38657,Operation_OR,,USED
$009741,38721,Event_Code_10,,USED
$00974A,38730,Event_Code_13,,USED
$00975F,38751,Event_Code_16,,USED
$009772,38770,Event_Code_17,,USED
$009791,38801,Event_Code_18,,USED
$0097A0,38816,Event_Code_1D,,USED
$0097B6,38838,Event_Code_1E,,USED
$0097C5,38853,Event_Code_1F,,USED
$0097D8,38872,Event_Code_20,,USED
$0097F5,38901,Event_Code_21,,USED
$009814,38932,Event_Code_22,,USED
$00982A,38954,Event_Code_23,,USED
$009847,38983,Event_Code_24,,USED
$009739,38713,Tbl_Actor_Arrays,,USED
$009864,39012,Event_Code_25,,USED
$009881,39041,Credits_Reading_0FD0,,USED
$05EE7C,388732,Names_Petrified,,USED
$05EE86,388742,Names_Confused,,USED
$05EE90,388752,Names_Sleeping,,USED
$05EE9A,388762,Item_names,,USED
$05EEC2,388802,Names_Water_of_Life,,USED
$05EED6,388822,Names_Sleeping_Bag,,USED
$05EEEA,388842,Names_Tent,,USED
$05EEFE,388862,Names_Str_Honey,,USED
$05EF12,388882,Names_Int_Honey,,USED
$05EF26,388902,Names_Def_Honey,,USED
$05EF3A,388922,Names_Agi_Honey,,USED
$05EF4E,388942,Names_HP_Honey,,USED
$05EF62,388962,Names_MP_Honey,,USED
$05EF76,388982,Names_Herbs,,USED
$05EF8A,389002,Names_Medicine,,USED
$05EF9E,389022,Names_Silver_Flask,,USED
$05EFB2,389042,Names_Gold_Flask,,USED
$05EFC6,389062,Names_Maidens_Kiss,,USED
$05EFDA,389082,Names_Moon_Oil,,USED
$05EFEE,389102,Names_Enchanted_Jewel,,USED
$05F043,389187,Names_Wind_Card,,USED
$05F04E,389198,Names_Earth_Card,,USED
$05F059,389209,Names_Water_Card,,USED
$05F064,389220,Names_Fire_Card,,USED
$05F06F,389231,Names_Null_Card,,USED
$05F07A,389242,Names_Fog_Card,,USED
$05F085,389253,Names_Call_Amulet,,USED
$05F0A7,389287,Tbl_Spirit_stat_1,,USED
$05F0B7,389303,Tbl_Spirit_stat_2,,UNUSED
$05F107,389383,Tbl_Spirit_def_copy,,UNUSED
$079118,495896,Get_enemy_ID_from_09C7_far,,USED
$02A493,173203,LoadData_Enemy22,,USED
$00421E,16926,P2_Data2_lo,,UNUSED
$00CEE4,52964,Loading_save_file,,USED
$00D375,54133,Event_Sound_test,,USED
$01804A,98378,Compressed_data_1804A,,USED
$00A31A,41754,Tbl_Anims_8DFA,,USED
$018321,99105,Script_18321,,USED
$07B1AE,504238,Condition_0,,USED
$07B1B2,504242,Condition_1,,USED
$07B1B6,504246,Condition_2,,USED
$07B1BA,504250,Condition_3,,USED
$07B1BE,504254,Condition_4,,USED
$07B1C2,504258,Condition_5,,USED
$07B1C6,504262,Condition_6,,USED
$07B1CA,504266,Condition_7,,USED
$07BBEA,506858,Tbl_Stats_In_RAM,,USED
$07BC02,506882,Tbl_Honey_Max_Stats,,USED
$07BBF6,506870,Tbl_Honey_Boost_Amt,,USED
$07BBC0,506816,Honey_Boost_Stats,,USED
$07B66B,505451,Yikes_Text_Load,,USED
$07B679,505465,Combat2_Text_Load,,USED
$07B68D,505485,Tbl_COMBAT_Text2,,USED
$07B69F,505503,Bank_COMBAT_Text2,,USED
$07B6B1,505521,Tbl_YIKES_Text,,USED
$07B6C3,505539,Bank_YIKES_Text,,USED
$07B6D5,505557,Tbl_COMBAT_Text,,USED
$07B6E7,505575,Bank_COMBAT_Text,,USED
$078387,492423,Spell_Anim_Decomp_Stuff,,USED
$07C423,508963,Text_Chaos_Wind_eff,,USED
$07C43B,508987,Text_Entomb_eff,,USED
$07C453,509011,Text_Destroy_eff,,USED
$07C4F1,509169,Text_Confused_eff,,USED
$07C503,509187,Text_Sleeping_eff,,USED
$07C515,509205,Text_Paralyzed_eff,,USED
$07C527,509223,Text_Petrified_eff,,USED
$07C539,509241,Text_Silenced_eff,,USED
$07C631,509489,Text_Avoidance,,USED
$07C641,509505,Text_Defense,,USED
$07C651,509521,Text_Accuracy,,USED
$07C661,509537,Text_Attack_Pwr,,USED
$07C6B4,509620,Text_Wind,,USED
$07C6BA,509626,Text_Earth,,USED
$07C6C0,509632,Text_Water,,USED
$07C6C6,509638,Text_Fire,,USED
$07C6FF,509695,Text_Paralyzed,,USED
$07C709,509705,Text_Petrified,,USED
$07C713,509715,Text_Confused,,USED
$07C71D,509725,Text_Sleeping,,USED
$07C8DC,510172,Spell_effect_SFX,,USED
$07C8EA,510186,Status_effect_SFX,,USED
$178044,1540164,Compressed_data1,,USED
$07B234,504372,Sub_Levelup_check,,USED
$07B256,504406,Sub_Increase_LV,,USED
$07B27A,504442,Sub_Get_EXP_to_next,,USED
$008FE0,36832,Update_Restart_MainLp,Updates $1041 and restarts the main loop,USED
$07BF8C,507788,Update_curMP,,USED
$009A7B,39547,Stuff,,USED
$0096F2,38642,Tbl_RAM_Operations,,USED
$07AA88,502408,Check_A_bits,,USED
$07C2E1,508641,Is_Draw_Spell_Name,,USED
